Time,Drag Force
61959,137.14
61970,136.62
61982,138.02
61993,138.02
62005,138.02
62016,138.02
62028,137.85
62039,137.85
62051,139.78
62062,139.78
62073,139.25
62085,136.97
62096,137.5
62108,138.37
62119,137.32
62131,132.06
62142,129.78
62154,131.36
62165,134.16
62177,132.59
62189,128.55
62200,128.38
62211,128.55
62223,128.55
62234,129.95
62246,133.46
62257,134.16
62269,131.18
62280,130.13
62292,133.99
62303,136.44
62315,132.41
62326,132.41
62338,138.55
62349,143.81
62361,144.34
62372,144.51
62384,148.9
62395,149.77
62407,146.62
62418,143.28
62430,147.14
62441,149.42
62453,149.07
62464,147.14
62476,149.95
62487,153.28
62499,154.86
62510,155.38
62522,159.59
62533,161.87
62545,162.22
62556,162.4
62568,162.22
62579,162.57
62591,163.98
62602,169.06
62614,171.34
62625,174.68
62637,174.68
62648,175.9
62660,177.66
62671,181.34
62683,184.67
62694,187.3
62705,187.3
62717,186.43
62728,186.95
62740,187.83
62751,185.72
62763,184.85
62774,184.15
62786,182.39
62797,181.52
62809,182.39
62820,185.02
62832,186.78
62843,184.67
62855,184.32
62866,183.97
62878,184.32
62889,185.37
62901,188.18
62912,193.62
62924,196.6
62935,196.07
62947,196.6
62958,199.05
62970,203.09
62981,207.47
62993,208.52
63004,208.0
63016,206.77
63027,207.82
63039,210.1
63050,215.54
63062,218.17
63073,218.17
63085,214.31
63096,212.56
63108,213.08
63119,214.84
63131,213.78
63142,212.73
63154,211.5
63165,215.36
63177,215.36
63188,214.14
63200,212.56
63211,215.01
63223,219.92
63234,222.2
63246,220.62
63257,219.22
63269,222.55
63280,231.85
63292,236.58
63303,239.57
63315,240.27
63326,237.81
63337,236.23
63349,243.95
63360,251.67
63372,250.61
63383,250.44
63395,253.24
63406,257.1
63418,261.84
63429,264.29
63441,262.89
63452,263.07
63464,266.75
63475,266.75
63487,266.75
63498,271.66
63510,275.87
63521,279.38
63533,283.94
63544,287.27
63556,283.94
63567,282.53
63579,288.14
63590,290.07
63602,289.2
63613,295.16
63625,301.65
63636,307.44
63648,311.82
63659,317.26
63671,322.87
63682,326.9
63694,326.03
63705,327.96
63717,330.76
63728,327.43
63740,328.31
63751,337.78
63763,349.18
63774,356.19
63786,361.98
63797,367.77
63809,372.5
63820,376.18
63832,372.68
63843,364.96
63855,366.36
63866,374.25
63878,377.41
63889,375.83
63901,379.34
63912,383.73
63924,383.37
63935,387.58
63947,395.65
63958,393.72
63969,387.23
63981,385.48
63992,383.55
64004,380.22
64015,376.18
64027,369.17
64038,368.82
64050,370.57
64061,368.64
64073,355.66
64084,346.72
64096,348.82
64107,346.72
64119,334.97
64130,327.43
64142,328.48
64153,323.75
64165,311.65
64176,300.25
64188,298.67
64199,298.67
64211,292.18
64222,282.36
64234,275.52
64245,266.75
64257,264.47
64268,267.63
64280,273.59
64291,270.26
64303,258.16
64314,251.32
64326,255.35
64337,258.86
64349,254.12
64360,249.04
64372,251.49
64383,256.75
64395,251.84
64406,242.9
64418,237.64
64429,239.21
64441,245.7
64452,251.67
64464,255.52
64475,253.24
64487,245.53
64498,238.51
64510,240.62
64521,249.39
64533,255.52
64544,257.8
64556,257.8
64567,259.21
64578,262.71
64590,260.79
64601,255.52
64613,254.3
64624,262.19
64636,275.69
64647,278.15
64659,269.38
64670,256.93
64682,256.58
64693,264.64
64705,274.11
64716,280.08
64728,279.02
64739,274.99
64751,262.71
64762,258.68
64774,264.29
64785,273.06
64797,275.34
64808,275.34
64820,282.01
64831,289.37
64843,293.76
64854,289.02
64866,283.06
64877,281.3
64889,290.78
64900,298.14
64912,291.13
64923,278.15
64935,281.13
64946,292.53
64958,298.67
64969,289.37
64981,271.31
64992,269.73
65004,286.39
65015,296.39
65027,288.14
65038,269.91
65050,257.98
65061,257.28
65073,263.94
65084,261.84
65096,248.86
65107,246.76
65119,264.64
65130,269.38
65142,244.65
65153,220.8
65165,230.8
65176,257.28
65188,264.99
65199,249.21
65210,227.64
65222,224.48
65233,238.34
65245,243.07
65256,226.06
65268,216.77
65279,225.71
65291,241.14
65302,240.27
65314,226.41
65325,217.47
65337,230.09
65348,254.3
65360,276.74
65371,269.38
65383,252.19
65394,263.07
65406,283.94
65417,277.45
65429,251.49
65440,227.11
65452,244.3
65463,273.94
65475,278.67
65486,267.45
65498,263.42
65509,273.41
65521,275.17
65532,257.28
65544,228.52
65555,215.71
65567,220.98
65578,221.85
65590,199.93
65601,155.56
65613,132.23
65624,161.0
65636,195.72
65647,200.46
65659,163.45
65670,119.78
65682,100.32
65693,110.66
65705,119.61
65716,105.23
65728,82.6
65739,65.77
65751,61.38
65762,67.34
65774,67.34
65785,46.65
65797,53.14
65808,73.48
65819,69.62
65831,54.89
65842,51.21
65854,47.35
65865,31.92
65877,43.32
65888,69.8
65900,63.31
65911,38.41
65923,36.3
65935,45.77
65946,59.63
65957,72.61
65969,54.02
65980,38.06
65992,35.95
66003,43.14
66015,44.72
66026,46.83
66038,35.6
66049,26.13
66061,35.95
66072,43.84
66084,40.51
66095,39.46
66107,39.46
66118,32.62
66130,18.94
66141,23.33
66153,43.84
66164,50.51
66176,42.79
66187,44.02
66199,59.1
66210,72.43
66222,69.1
66233,53.49
66245,56.82
66256,76.64
66268,94.0
66279,96.11
66291,88.39
66302,71.55
66314,75.06
66325,111.72
66337,142.76
66348,130.48
66360,119.43
66371,141.88
66383,184.15
66394,183.8
66406,169.76
66417,184.32
66429,223.61
66440,253.42
66452,252.89
66463,242.2
66474,255.17
66486,294.81
66497,324.62
66509,341.63
66520,335.5
66532,320.24
66543,323.22
66555,341.63
66566,323.92
66578,277.27
66589,257.1
66601,280.78
66612,279.9
66624,248.51
66635,200.11
66647,201.86
66658,224.48
66670,223.08
66681,178.18
66693,145.91
66704,136.62
66716,145.21
66727,130.48
66739,92.77
66750,67.52
66762,70.33
66773,93.83
66785,110.49
66796,87.69
66808,62.96
66819,88.04
66831,128.9
66842,147.84
66854,139.07
66865,133.99
66877,129.43
66888,135.74
66900,160.82
66911,172.4
66923,176.43
66934,184.15
66946,191.86
66957,208.0
66969,217.12
66980,219.75
66992,215.01
67003,226.76
67015,246.76
67026,249.04
67038,230.27
67049,227.64
67060,243.07
67072,248.16
67083,247.81
67095,261.14
67106,263.24
67118,238.34
67129,216.59
67141,236.93
67152,263.59
67164,253.95
67175,228.69
67187,219.4
67198,228.87
67210,238.86
67221,242.2
67233,237.29
67244,239.92
67256,237.11
67267,220.45
67279,216.94
67290,232.02
67302,235.36
67313,230.8
